མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,829,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད། ,,,,,,
,,3,2,《པེ་》《སྣར་》,ཀ,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཕྱེས།,,,,,,
,,6,5,《པེ་》《སྣར་》,པས།,,,,,,
,,7,6,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,8,7,《པེ་》《སྣར་》,འདུལ།,,,,,,
,,9,8,《པེ་》,ལ།,,,,,,
,830,10,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,11,2,《པེ་》《སྣར་》,ཡི།,,,,,,
,,12,3,《པེ་》《སྣར་》,མཐར།,,,,,,
,,13,4,《པེ་》《སྣར་》,པོས།,,,,,,
,,14,5,《པེ་》《སྣར་》,བཀའ།,,,,,,
,,15,6,《པེ་》《སྣར་》,བ་བྱ། གླེང།,,,,,,
,,16,7,《པེ་》《སྣར་》,ཡི།,,,,,,
,831,17,1,《སྣར་》,pདོ།,,,,,,
,,18,2,《པེ་》《སྣར་》,པ་ཡིན།,,,,,,
,,19,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,832,20,1,《པེ་》《སྣར་》,བཞུགས།,,,,,,
,,21,2,《པེ་》《སྣར་》,དང།,,,,,,
,,22,3,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,23,4,《པེ་》《སྣར་》,སོགས།,,,,,,
,833,24,1,《སྣར་》,ཟུང།,,,,,,
,,25,2,《པེ་》《སྣར་》,རལ།,,,,,,
,,26,3,《པེ་》《སྣར་》,ཚིགས་མེད་འོད།,,,,,,
,834,27,1,《སྣར་》,པ།,,,,,,
,,28,2,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,29,3,《པེ་》《སྣར་》,རིགས།,,,,,,
,,30,4,《པེ་》《སྣར་》,རིག,,,,,,
,,31,5,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,32,6,《པེ་》《སྣར་》,པའི།,,,,,,
,835,33,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,34,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,35,3,《པེ་》《སྣར་》,pརྣམ་པ་བཞིའི།,,,,,,
,836,36,1,《པེ་》《སྣར་》,བསླུ།,,,,,,
,,37,2,《པེ་》《སྣར་》,འདོད་ཆགས།,,,,,,
,,38,3,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,39,4,《པེ་》《སྣར་》,མའོ།,,,,,,
,837,40,1,《སྣར་》,mན།,,,,,,
,,41,2,《སྣར་》,དྱིག,,,,,,
,,42,3,《སྣར་》,དྷྲིཀ,,,,,,
,,43,4,《པེ་》《སྣར་》,ལིཀ,,,,,,
,,44,5,《པེ་》,རླབས།;《སྣར་》,རླབ།,,,,,
,,45,6,《པེ་》《སྣར་》,pདུ།,,,,,,
,,46,7,《པེ་》《སྣར་》,མའོ།,,,,,,
,,47,8,《པེ་》《སྣར་》,ཡིས།,,,,,,
,839,48,1,《སྣར་》,དཔའ།,,,,,,
,,49,2,《སྣར་》,དྷརྨཱ།,,,,,,
,,50,3,《པེ་》《སྣར་》,mདུ།,,,,,,
